doi                       , autor, revista, apellido, pais
10.1007/s11845-024-03680-y,      ,        ,         , US
10.1007/s11845-024-03680-y,      ,        ,         , GB
10.1007/s41686-024-00097-9,      ,        ,         , PT
10.1007/s11423-024-10366-w,      ,        ,         , HK
10.1007/s10758-024-09780-z,      ,        ,         , AU
10.1007/s12178-025-09961-y,      ,        ,         , US
10.1007/s12178-025-09961-y,      ,        ,         , IR
10.1007/s40979-023-00131-6,      ,        ,         , GB
10.1007/s00122-025-04942-8,      ,        ,         , US
10.1007/s00122-025-04942-8,      ,        ,         , ES
10.1007/s11783-024-1918-y ,      ,        ,         , CN
10.1007/s00500-025-10702-z,      ,        ,         , SA
10.1007/s10978-024-09401-9,      ,        ,         , HK
10.1007/s12178-025-09961-y,      ,        ,         , US
10.1007/s12178-025-09961-y,      ,        ,         , IR
10.1007/s40979-023-00131-6,      ,        ,         , GB
10.1007/s10978-024-09401-9,      ,        ,         , HK
10.1007/s40123-024-00981-4,      ,        ,         , CN
10.1007/s00500-025-10702-z,      ,        ,         , SA
10.1007/s42768-025-00246-1,      ,        ,         , CN
10.1007/s42768-025-00246-1,      ,        ,         , LK
10.1007/s43681-024-00546-y,      ,        ,         , US
10.1007/s44217-024-00214-7,      ,        ,         , ZA
10.1007/s10758-024-09747-0,      ,        ,         , JP
10.1007/s10758-024-09747-0,      ,        ,         , IE
10.1007/s10758-024-09747-0,      ,        ,         , DE
10.1007/s10758-024-09747-0,      ,        ,         , IT
10.1007/s10758-024-09747-0,      ,        ,         , NL
10.1007/s42768-025-00246-1,      ,        ,         , CN
10.1007/s42768-025-00246-1,      ,        ,         , LK
10.1007/s11423-024-10406-5,      ,        ,         , IL
10.1007/s10639-023-12441-w,      ,        ,         , ES
10.1007/s10639-023-12441-w,      ,        ,         , CH
10.1007/s10956-024-10192-y,      ,        ,         , TR
10.1007/s10639-025-13716-0,      ,        ,         , MO
10.1007/s10639-025-13716-0,      ,        ,         , CN
10.1007/s10639-025-13716-0,      ,        ,         , HK
10.1007/s10798-024-09888-4,      ,        ,         , KR
10.1007/s11423-024-10400-x,      ,        ,         , US
10.1007/s10798-024-09954-x,      ,        ,         , CN
10.1007/s10639-023-12406-z,      ,        ,         , US
10.1007/s10639-025-13745-9,      ,        ,         , HK
10.1007/s10643-024-01694-w,      ,        ,         , HK
10.1007/s10639-024-12644-9,      ,        ,         , HK
10.1007/s10639-024-12583-5,      ,        ,         , TR
10.1007/s10639-024-13115-x,      ,        ,         , CN
10.1007/s10639-024-13179-9,      ,        ,         , CN
10.1007/s10956-024-10130-y,      ,        ,         , TR
10.1007/s42087-024-00463-w,      ,        ,         , US
10.1007/s10639-024-13116-w,      ,        ,         , TW
10.1007/s10758-025-09833-x,      ,        ,         , CH
10.1007/s10758-025-09906-x,      ,        ,         , GR
10.1007/s41979-024-00117-0,      ,        ,         , US
10.1007/s10956-024-10185-x,      ,        ,         , US
10.1007/s10639-025-13386-y,      ,        ,         , US
10.1007/s10639-025-13386-y,      ,        ,         , FI
10.1007/s10956-024-10185-x,      ,        ,         , US
10.1007/s10639-025-13386-y,      ,        ,         , US
10.1007/s10639-025-13386-y,      ,        ,         , FI
10.1007/s10639-023-12415-y,      ,        ,         , CN
10.1007/s44217-025-00834-7,      ,        ,         , ID
10.1007/s10758-025-09826-w,      ,        ,         , US
10.1007/s11219-024-09700-5,      ,        ,         , IT
10.1007/s10639-024-13100-4,      ,        ,         , CN
10.1007/s10639-024-13253-2,      ,        ,         , KR
10.1007/s10643-024-01825-3,      ,        ,         , US
10.1007/s10639-024-13192-y,      ,        ,         , CN
10.1007/s10639-023-12380-6,      ,        ,         , NG
10.1007/s10763-024-10465-3,      ,        ,         , DE
10.1007/s10639-024-13104-0,      ,        ,         , KR
10.1007/s10956-024-10095-y,      ,        ,         , US
10.1007/s10639-023-12052-5,      ,        ,         , TR
10.1007/s10639-024-12744-6,      ,        ,         , CA
10.1007/s10643-024-01728-3,      ,        ,         , US
10.1007/s10643-024-01728-3,      ,        ,         , TR
10.1007/s10639-023-12392-2,      ,        ,         , CN
10.1007/s10846-024-02082-7,      ,        ,         , BR
10.1007/s40299-024-00858-x,      ,        ,         , CN
10.1007/s10758-024-09765-y,      ,        ,         , US
10.1007/s10758-024-09765-y,      ,        ,         , FI
10.1007/s10639-023-11806-5,      ,        ,         , KZ
10.1007/s11423-024-10397-3,      ,        ,         , IN
10.1007/s10639-024-12522-4,      ,        ,         , BE
10.1007/s10639-024-12522-4,      ,        ,         , CN
10.1007/s10639-024-12872-z,      ,        ,         , CN
10.1007/s10956-023-10089-2,      ,        ,         , US
10.1007/s10956-023-10089-2,      ,        ,         , TR
10.1007/s10956-023-10089-2,      ,        ,         , US
10.1007/s10956-023-10089-2,      ,        ,         , TR
10.1007/s40692-023-00284-w,      ,        ,         , IN
10.1007/s10763-023-10426-2,      ,        ,         , US
10.1007/s10639-022-11385-x,      ,        ,         , TR
10.1007/s13384-024-00785-2,      ,        ,         , AU
10.1007/s10639-023-11974-4,      ,        ,         , US
10.1007/s10639-023-11974-4,      ,        ,         , GB
10.1007/s10639-023-11974-4,      ,        ,         , TR
10.1007/s12564-023-09905-6,      ,        ,         , ES
10.1007/s10639-023-12313-3,      ,        ,         , TW
10.1007/s10639-023-11671-2,      ,        ,         , TW
10.1007/s10639-023-11671-2,      ,        ,         , CN
10.1007/s11528-023-00907-0,      ,        ,         , US
10.1007/s10639-024-12597-z,      ,        ,         , MO
10.1007/s10639-024-12597-z,      ,        ,         , CN
10.1007/s10643-023-01581-w,      ,        ,         , US
10.1007/s42330-023-00267-0,      ,        ,         , US
10.1007/s42330-023-00267-0,      ,        ,         , CA
10.1007/s10956-023-10052-1,      ,        ,         , IN
10.1007/s10639-023-12051-6,      ,        ,         , ES
10.1007/s10639-024-12922-6,      ,        ,         , HK
10.1007/s10639-023-12029-4,      ,        ,         , CN
10.1007/s13384-024-00762-9,      ,        ,         , AU
10.1007/s40751-024-00141-0,      ,        ,         , NL
10.1007/s11423-022-10182-0,      ,        ,         , US
10.1007/s11423-023-10328-8,      ,        ,         , HK
10.1007/s11423-023-10328-8,      ,        ,         , CN
10.1007/s10956-022-09989-6,      ,        ,         , US
10.1007/s10639-024-13088-x,      ,        ,         , SA
10.1007/s10639-023-12325-z,      ,        ,         , CN
10.1007/s10639-023-12103-x,      ,        ,         , TR
10.1007/s10639-023-11618-7,      ,        ,         , CN
10.1007/s10639-023-12181-x,      ,        ,         , CN
10.1007/s10956-022-10004-1,      ,        ,         , US
10.1007/s10639-024-12655-6,      ,        ,         , CN
10.1007/s40751-023-00126-5,      ,        ,         , NL
10.1007/s10639-024-12492-7,      ,        ,         , TR
10.1007/s10639-022-11505-7,      ,        ,         , TR
10.1007/s40751-024-00135-y,      ,        ,         , TR
10.1007/s10639-023-11843-0,      ,        ,         , ES
10.1007/s10639-023-11843-0,      ,        ,         , CL
10.1007/s11423-023-10312-2,      ,        ,         , CN
10.1007/s10639-022-11454-1,      ,        ,         , US
10.1007/s10639-024-12661-8,      ,        ,         , TW
10.1007/s10758-025-09886-y,      ,        ,         , US
10.1007/s10758-022-09636-4,      ,        ,         , US
10.1007/s10639-023-12153-1,      ,        ,         , TR
10.1007/s10639-023-12093-w,      ,        ,         , ID
10.1007/s11423-023-10191-7,      ,        ,         , CN
10.1007/s11858-023-01509-z,      ,        ,         , HK
10.1007/s10763-023-10419-1,      ,        ,         , SG
10.1007/s10763-023-10419-1,      ,        ,         , CN
10.1007/s10763-023-10419-1,      ,        ,         , HK
10.1007/s10763-023-10419-1,      ,        ,         , CA
10.1007/s10763-023-10419-1,      ,        ,         , MY
10.1007/s11528-022-00766-1,      ,        ,         , US
10.1007/s11528-023-00841-1,      ,        ,         , US
10.1007/s10212-022-00651-8,      ,        ,         , TR
10.1007/s11423-023-10231-2,      ,        ,         , HK
10.1007/s11251-022-09590-9,      ,        ,         , US
10.1007/s10643-023-01475-x,      ,        ,         , CN
10.1007/s41979-023-00100-1,      ,        ,         , US
10.1007/s10639-023-11777-7,      ,        ,         , CN
10.1007/s10639-022-11189-z,      ,        ,         , CN
10.1007/s11423-024-10429-y,      ,        ,         , TW
10.1007/s10758-022-09606-w,      ,        ,         , US
10.1007/s10639-023-12022-x,      ,        ,         , CN
10.1007/s10639-023-11956-6,      ,        ,         , NL
10.1007/s10639-023-11956-6,      ,        ,         , NL
10.1007/s11191-022-00392-6,      ,        ,         , CN
10.1007/s10639-023-11642-7,      ,        ,         , CA
10.1007/s41979-023-00097-7,      ,        ,         , HK
10.1007/s10639-023-11583-1,      ,        ,         , TR
10.1007/s10639-022-11445-2,      ,        ,         , CN
10.1007/s10639-022-11355-3,      ,        ,         , US
